"","","roll"
"268","4/1/2021","115.714285714286"
"269","4/2/2021","117"
"270","4/3/2021","112.857142857143"
"271","4/4/2021","110.428571428571"
"272","4/5/2021","112.142857142857"
"273","4/6/2021","105.285714285714"
"274","4/7/2021","101.428571428571"
"275","4/8/2021","101"
"276","4/9/2021","98"
"277","4/10/2021","99.4285714285714"
"278","4/11/2021","98.5714285714286"
"279","4/12/2021","94.8571428571429"
"280","4/13/2021","95.4285714285714"
"281","4/14/2021","92.8571428571429"
"282","4/15/2021","95.7142857142857"
"283","4/16/2021","95.1428571428571"
"284","4/17/2021","91.7142857142857"
"285","4/18/2021","91.8571428571429"
"286","4/19/2021","91.4285714285714"
"287","4/20/2021","92"
"288","4/21/2021","79.8571428571429"
"289","4/22/2021","81.2857142857143"
"290","4/23/2021","81.4285714285714"
"291","4/24/2021","82.8571428571429"
"292","4/25/2021","82.8571428571429"
"293","4/26/2021","86.1428571428571"
"294","4/27/2021","89.7142857142857"
"295","4/28/2021","102.428571428571"
"296","4/29/2021","100.714285714286"
"297","4/30/2021","101.571428571429"
"298","5/1/2021","105"
"299","5/2/2021","103"
"300","5/3/2021","104.142857142857"
"301","5/4/2021","103.285714285714"
"302","5/5/2021","94"
"303","5/6/2021","89.1428571428571"
"304","5/7/2021","86.4285714285714"
"305","5/8/2021","84.4285714285714"
"306","5/9/2021","82.2857142857143"
"307","5/10/2021","75.1428571428571"
"308","5/11/2021","71.1428571428571"
"309","5/12/2021","74.8571428571429"
"310","5/13/2021","81"
"311","5/14/2021","83.1428571428571"
"312","5/15/2021","82.4285714285714"
"313","5/16/2021","90.4285714285714"
"314","5/17/2021","91.2857142857143"
"315","5/18/2021","86.5714285714286"
"316","5/19/2021","78"
"317","5/20/2021","67.7142857142857"
"318","5/21/2021","63"
"319","5/22/2021","58.2857142857143"
"320","5/23/2021","51.2857142857143"
"321","5/24/2021","47.5714285714286"
"322","5/25/2021","46.1428571428571"
"323","5/26/2021","39.8571428571429"
"324","5/27/2021","50.5714285714286"
"325","5/28/2021","49.5714285714286"
"326","5/29/2021","54.5714285714286"
"327","5/30/2021","51"
"328","5/31/2021","49.2857142857143"
"329","6/1/2021","53.2857142857143"
"330","6/2/2021","56.2857142857143"
"331","6/3/2021","50.2857142857143"
"332","6/4/2021","50.8571428571429"
"333","6/5/2021","47.4285714285714"
"334","6/6/2021","50"
"335","6/7/2021","52.8571428571429"
"336","6/8/2021","54"
