"","","roll"
"296","4/11/2021","436.428571428571"
"297","4/12/2021","431"
"298","4/13/2021","417.571428571429"
"299","4/14/2021","407.571428571429"
"300","4/15/2021","405"
"301","4/16/2021","397.714285714286"
"302","4/17/2021","379.428571428571"
"303","4/18/2021","363.714285714286"
"304","4/19/2021","355.428571428571"
"305","4/20/2021","343.714285714286"
"306","4/21/2021","338.714285714286"
"307","4/22/2021","334.857142857143"
"308","4/23/2021","317.142857142857"
"309","4/24/2021","310.285714285714"
"310","4/25/2021","307.142857142857"
"311","4/26/2021","301.142857142857"
"312","4/27/2021","295.142857142857"
"313","4/28/2021","287.285714285714"
"314","4/29/2021","278.571428571429"
"315","4/30/2021","280.428571428571"
"316","5/1/2021","271.714285714286"
"317","5/2/2021","266.571428571429"
"318","5/3/2021","262.571428571429"
"319","5/4/2021","257.285714285714"
"320","5/5/2021","252.714285714286"
"321","5/6/2021","250.285714285714"
"322","5/7/2021","237.571428571429"
"323","5/8/2021","237.142857142857"
"324","5/9/2021","230.285714285714"
"325","5/10/2021","217.714285714286"
"326","5/11/2021","210.142857142857"
"327","5/12/2021","203.714285714286"
"328","5/13/2021","199.714285714286"
"329","5/14/2021","194.428571428571"
"330","5/15/2021","182"
"331","5/16/2021","173.285714285714"
"332","5/17/2021","175.142857142857"
"333","5/18/2021","170.428571428571"
"334","5/19/2021","167.285714285714"
"335","5/20/2021","165.428571428571"
"336","5/21/2021","160.428571428571"
"337","5/22/2021","159.857142857143"
"338","5/23/2021","160.142857142857"
"339","5/24/2021","156"
"340","5/25/2021","157.285714285714"
"341","5/26/2021","157.142857142857"
"342","5/27/2021","158.857142857143"
"343","5/28/2021","147.857142857143"
"344","5/29/2021","157.857142857143"
"345","5/30/2021","165.428571428571"
"346","5/31/2021","170.714285714286"
"347","6/1/2021","172.285714285714"
"348","6/2/2021","174.142857142857"
"349","6/3/2021","174.857142857143"
"350","6/4/2021","187.714285714286"
"351","6/5/2021","184.714285714286"
"352","6/6/2021","179.428571428571"
"353","6/7/2021","176.857142857143"
"354","6/8/2021","175.571428571429"
"355","6/9/2021","179"
"356","6/10/2021","180.714285714286"
"357","6/11/2021","189.571428571429"
"358","6/12/2021","191.571428571429"
"359","6/13/2021","196.571428571429"
"360","6/14/2021","202.142857142857"
"361","6/15/2021","208.714285714286"
"362","6/16/2021","210.285714285714"
"363","6/17/2021","219.428571428571"
"364","6/18/2021","225"
"365","6/19/2021","232.857142857143"
"366","6/20/2021","244.428571428571"
"367","6/21/2021","260.571428571429"
"368","6/22/2021","276.428571428571"
"369","6/23/2021","294.428571428571"
"370","6/24/2021","309.285714285714"
"371","6/25/2021","344.142857142857"
"372","6/26/2021","376.428571428571"
"373","6/27/2021","418.857142857143"
"374","6/28/2021","466.571428571429"
"375","6/29/2021","505.857142857143"
"376","6/30/2021","533.142857142857"
"377","7/1/2021","550.428571428571"
"378","7/2/2021","595.142857142857"
"379","7/3/2021","691.571428571429"
"380","7/4/2021","778.571428571429"
"381","7/5/2021","851.285714285714"
"382","7/6/2021","939.142857142857"
"383","7/7/2021","1014.71428571429"
"384","7/8/2021","1099.42857142857"
"385","7/9/2021","1226.85714285714"
"386","7/10/2021","1312.14285714286"
"387","7/11/2021","1402.42857142857"
"388","7/12/2021","1521.71428571429"
"389","7/13/2021","1631.14285714286"
"390","7/14/2021","1702.28571428571"
"391","7/15/2021","1774.71428571429"
"392","7/16/2021","1908.71428571429"
"393","7/17/2021","2024.71428571429"
"394","7/18/2021","2159.42857142857"
"395","7/19/2021","2230.14285714286"
"396","7/20/2021","2294.28571428571"
"397","7/21/2021","2356.28571428571"
