Label,Locality,Variant
USA_HI_H212001_2021,HI,B117
USA_HI_H212003_2021,HI,B117
USA_HI_H212005_2021,HI,B117
USA_HI_H212008_2021,HI,B117
USA_HI_H212012_2021,HI,B117
USA_HI_H212018_2021,HI,B117
USA_HI_H212020_2021,HI,B117
USA_HI_H212021_2021,HI,B117
USA_HI_H212022_2021,HI,B117
USA_HI_H212023_2021,HI,B117
USA_HI_H212024_2021,HI,B117
USA_HI_H212025_2021,HI,B117
USA_HI_H212029_2021,HI,B117
USA_HI_H212033_2021,HI,B117
USA_HI_H212035_2021,HI,B117
USA_HI_H212038_2021,HI,B117
USA_HI_H212039_2021,HI,B117
USA_HI_H212046_2021,HI,B117
USA_HI_H212053_2021,HI,B117
USA_HI_H212054_2021,HI,B117
USA_HI_H212058_2021,HI,B117
USA_HI_H212064_2021,HI,B117
USA_HI_H212067_2021,HI,B117
USA_HI_H212075_2021,HI,B117
USA_HI_H212076_2021,HI,B117
USA_HI_H212077_2021,HI,B117
USA_HI_H212079_2021,HI,B117
USA_HI_H212080_2021,HI,B117
USA_HI_H212085_2021,HI,B117
USA_HI_H212092_2021,HI,B117
USA_HI_H212093_2021,HI,B117
USA_HI_H212094_2021,HI,B117
USA_HI_H212096_2021,HI,B117
USA_HI_H212097_2021,HI,B117
USA_HI_H212103_2021,HI,B117
USA_HI_H212105_2021,HI,B117
USA_HI_H212106_2021,HI,B117
USA_HI_H212112_2021,HI,B117
USA_HI_H212114_2021,HI,B117
USA_HI_H212115_2021,HI,B117
USA_HI_H212117_2021,HI,B117
USA_HI_H212118_2021,HI,B117
USA_HI_H212119_2021,HI,B117
USA_HI_H212120_2021,HI,B117
USA_HI_H212121_2021,HI,B117
USA_HI_H212122_2021,HI,B117
USA_HI_H212123_2021,HI,B117
USA_HI_H212124_2021,HI,B117
USA_HI_H212126_2021,HI,B117
USA_HI_H212130_2021,HI,B117
USA_HI_H212134_2021,HI,B117
USA_HI_H212135_2021,HI,B117
USA_HI_H212136_2021,HI,B117
USA_HI_H212138_2021,HI,B117
USA_HI_H212139_2021,HI,B117
USA_HI_H212140_2021,HI,B117
USA_HI_H212145_2021,HI,B117
USA_HI_H212146_2021,HI,B117
USA_HI_H212149_2021,HI,B117
USA_HI_H212152_2021,HI,B117
USA_HI_H212154_2021,HI,B117
USA_HI_H212155_2021,HI,B117
USA_HI_H212157_2021,HI,B117
USA_HI_H212158_2021,HI,B117
USA_HI_H212160_2021,HI,B117
USA_HI_H212161_2021,HI,B117
USA_HI_H212164_2021,HI,B117
USA_HI_H212167_2021,HI,B117
USA_HI_H212168_2021,HI,B117
USA_HI_H212170_2021,HI,B117
USA_HI_H212172_2021,HI,B117
USA_HI_H212173_2021,HI,B117
USA_HI_H212174_2021,HI,B117
USA_HI_H212176_2021,HI,B117
USA_HI_H212178_2021,HI,B117
USA_HI_H212180_2021,HI,B117
USA_HI_H212181_2021,HI,B117
USA_HI_H212183_2021,HI,B117
USA_HI_H212186_2021,HI,B117
USA_HI_H212188_2021,HI,B117
USA_HI_H212189_2021,HI,B117
USA_HI_H212190_2021,HI,B117
USA_HI_H212192_2021,HI,B117
USA_HI_H212193_2021,HI,B117
USA_HI_H212196_2021,HI,B117
USA_HI_H212198_2021,HI,B117
USA_HI_H212199_2021,HI,B117
USA_HI_H212200_2021,HI,B117
USA_HI_H212202_2021,HI,B117
USA_HI_H212205_2021,HI,B117
USA_HI_H212206_2021,HI,B117
USA_HI_H212207_2021,HI,B117
USA_HI_H212208_2021,HI,B117
USA_HI_H212212_2021,HI,B117
USA_HI_H212214_2021,HI,B117
USA_HI_H212216_2021,HI,B117
USA_HI_H212218_2021,HI,B117
USA_HI_H212219_2021,HI,B117
USA_HI_H212220_2021,HI,B117
USA_HI_H212225_2021,HI,B117
USA_HI_H212228_2021,HI,B117
USA_HI_H212231_2021,HI,B117
USA_HI_H212232_2021,HI,B117
USA_HI_H212233_2021,HI,B117
USA_HI_H212234_2021,HI,B117
USA_HI_H212235_2021,HI,B117
USA_HI_H212237_2021,HI,B117
USA_HI_H212238_2021,HI,B117
USA_HI_H212239_2021,HI,B117
USA_HI_H212240_2021,HI,B117
USA_HI_H212242_2021,HI,B117
USA_HI_H212243_2021,HI,B117
USA_HI_H212245_2021,HI,B117
USA_HI_H212246_2021,HI,B117
USA_HI_H212250_2021,HI,B117
USA_HI_H212251_2021,HI,B117
USA_HI_H212253_2021,HI,B117
USA_HI_H212254_2021,HI,B117
USA_HI_H212257_2021,HI,B117
USA_HI_H212261_2021,HI,B117
USA_HI_H212262_2021,HI,B117
USA_HI_H212263_2021,HI,B117
USA_HI_H212264_2021,HI,B117
USA_HI_H212266_2021,HI,B117
USA_HI_H212267_2021,HI,B117
USA_HI_H212269_2021,HI,B117
USA_HI_H212272_2021,HI,B117
USA_HI_H212273_2021,HI,B117
USA_HI_H212275_2021,HI,B117
USA_HI_H212276_2021,HI,B117
USA_HI_H212280_2021,HI,B117
USA_HI_H212281_2021,HI,B117
USA_HI_H212282_2021,HI,B117
USA_HI_H212285_2021,HI,B117
USA_HI_H212287_2021,HI,B117
USA_HI_H212288_2021,HI,B117
USA_HI_H212289_2021,HI,B117
USA_HI_H212291_2021,HI,B117
USA_HI_H212292_2021,HI,B117
USA_HI_H212294_2021,HI,B117
USA_HI_H212297_2021,HI,B117
USA_HI_H212299_2021,HI,B117
USA_HI_H212300_2021,HI,B117
USA_HI_H212302_2021,HI,B117
USA_HI_H212304_2021,HI,B117
USA_HI_H212306_2021,HI,B117
USA_HI_H212307_2021,HI,B117
USA_HI_H212308_2021,HI,B117
USA_HI_H212310_2021,HI,B117
USA_HI_H212311_2021,HI,B117
USA_HI_H212316_2021,HI,B117
USA_HI_H212317_2021,HI,B117
USA_HI_H212322_2021,HI,B117
USA_HI_H212323_2021,HI,B117
USA_HI_H212325_2021,HI,B117
USA_HI_H212326_2021,HI,B117
USA_HI_H212331_2021,HI,B117
USA_HI_H212332_2021,HI,B117
USA_HI_H212333_2021,HI,B117
USA_HI_H212334_2021,HI,B117
USA_HI_H212336_2021,HI,B117
USA_HI_H212339_2021,HI,B117
USA_HI_H212341_2021,HI,B117
USA_HI_H212344_2021,HI,B117
USA_HI_H212350_2021,HI,B117
USA_HI_H212367_2021,HI,B117
USA_HI_H212368_2021,HI,B117
USA_HI_H212379_2021,HI,B117
USA_HI_H212380_2021,HI,B117
USA_HI_H212381_2021,HI,B117
USA_HI_H212383_2021,HI,B117
USA_HI_H212384_2021,HI,B117
USA_HI_H212385_2021,HI,B117
USA_HI_H212391_2021,HI,B117
USA_HI_H212392_2021,HI,B117
USA_HI_H212396_2021,HI,B117
USA_HI_H212397_2021,HI,B117
USA_HI_H212399_2021,HI,B117
USA_HI_H212400_2021,HI,B117
USA_HI_H212402_2021,HI,B117
USA_HI_H212404_2021,HI,B117
USA_HI_H212431_2021,HI,B117
USA_HI_H212432_2021,HI,B117
USA_HI_H212434_2021,HI,B117
USA_HI_H212438_2021,HI,B117
USA_HI_H212439_2021,HI,B117
USA_HI_H212440_2021,HI,B117
USA_HI_H212441_2021,HI,B117
USA_HI_H212442_2021,HI,B117
USA_HI_H212443_2021,HI,B117
USA_HI_H212445_2021,HI,B117
USA_HI_H212447_2021,HI,B117
USA_HI_H212448_2021,HI,B117
USA_HI_H212454_2021,HI,B117
USA_HI_H212456_2021,HI,B117
USA_HI_H212461_2021,HI,B117
USA_HI_H212462_2021,HI,B117
USA_HI_H212465_2021,HI,B117
USA_HI_H212466_2021,HI,B117
USA_HI_H212467_2021,HI,B117
USA_HI_H212473_2021,HI,B117
USA_HI_H212474_2021,HI,B117
USA_HI_H212475_2021,HI,B117
USA_HI_H212476_2021,HI,B117
USA_HI_H212477_2021,HI,B117
USA_HI_H212478_2021,HI,B117
USA_HI_H212479_2021,HI,B117
USA_HI_H212482_2021,HI,B117
USA_HI_H212483_2021,HI,B117
USA_HI_H212484_2021,HI,B117
USA_HI_H212485_2021,HI,B117
USA_HI_H212488_2021,HI,B117
USA_HI_H212489_2021,HI,B117
USA_HI_H212491_2021,HI,B117
USA_HI_H212493_2021,HI,B117
USA_HI_H212497_2021,HI,B117
USA_HI_H212498_2021,HI,B117
USA_HI_H212499_2021,HI,B117
USA_HI_H212501_2021,HI,B117
USA_HI_H212502_2021,HI,B117
USA_HI_H212504_2021,HI,B117
USA_HI_H212506_2021,HI,B117
USA_HI_H212507_2021,HI,B117
USA_HI_H212511_2021,HI,B117
USA_HI_H212512_2021,HI,B117
USA_HI_H212513_2021,HI,B117
USA_HI_H212516_2021,HI,B117
USA_HI_H212517_2021,HI,B117
USA_HI_H212518_2021,HI,B117
USA_HI_H212520_2021,HI,B117
USA_HI_H212522_2021,HI,B117
USA_HI_H212523_2021,HI,B117
USA_HI_H212524_2021,HI,B117
USA_HI_H212525_2021,HI,B117
USA_HI_H212526_2021,HI,B117
USA_HI_H212527_2021,HI,B117
USA_HI_H212528_2021,HI,B117
USA_HI_H212533_2021,HI,B117
USA_HI_H212537_2021,HI,B117
USA_HI_H212538_2021,HI,B117
USA_HI_H212543_2021,HI,B117
USA_HI_H212544_2021,HI,B117
USA_HI_H212546_2021,HI,B117
USA_HI_H212547_2021,HI,B117
USA_HI_H212549_2021,HI,B117
USA_HI_H212552_2021,HI,B117
USA_HI_H212553_2021,HI,B117
USA_HI_H212555_2021,HI,B117
USA_HI_H212556_2021,HI,B117
USA_HI_H212557_2021,HI,B117
USA_HI_H212561_2021,HI,B117
USA_HI_H212567_2021,HI,B117
USA_HI_H212570_2021,HI,B117
USA_HI_H212576_2021,HI,B117
USA_HI_H212581_2021,HI,B117
USA_HI_H212582_2021,HI,B117
USA_HI_H212583_2021,HI,B117
USA_HI_H212585_2021,HI,B117
USA_HI_H212590_2021,HI,B117
USA_HI_H212591_2021,HI,B117
USA_HI_H212601_2021,HI,B117
USA_HI_H212603_2021,HI,B117
USA_HI_H212604_2021,HI,B117
USA_HI_H212614_2021,HI,B117
USA_HI_H212617_2021,HI,B117
USA_HI_H212622_2021,HI,B117
USA_HI_H212625_2021,HI,B117
USA_HI_H212627_2021,HI,B117
USA_HI_H212632_2021,HI,B117
USA_HI_H212633_2021,HI,B117
USA_HI_H212648_2021,HI,B117
USA_HI_H212654_2021,HI,B117
USA_HI_H212656_2021,HI,B117
USA_HI_H212660_2021,HI,B117
USA_HI_H212668_2021,HI,B117
USA_HI_H212669_2021,HI,B117
USA_HI_H212670_2021,HI,B117
USA_HI_H212672_2021,HI,B117
USA_HI_H212673_2021,HI,B117
USA_HI_H212677_2021,HI,B117
USA_HI_H212678_2021,HI,B117
USA_HI_H212679_2021,HI,B117
USA_HI_H212681_2021,HI,B117
USA_HI_H212684_2021,HI,B117
USA_HI_H212685_2021,HI,B117
USA_HI_H212688_2021,HI,B117
USA_HI_H212689_2021,HI,B117
USA_HI_H212697_2021,HI,B117
USA_HI_H212698_2021,HI,B117
USA_HI_H212704_2021,HI,B117
USA_HI_H212711_2021,HI,B117
USA_HI_H212712_2021,HI,B117
USA_HI_H212714_2021,HI,B117
USA_HI_H212725_2021,HI,B117
USA_HI_H212734_2021,HI,B117
USA_HI_H212735_2021,HI,B117
USA_HI_H212745_2021,HI,B117
USA_HI_H212750_2021,HI,B117
USA_HI_H212753_2021,HI,B117
USA_HI_H212762_2021,HI,B117
USA_HI_H212767_2021,HI,B117
USA_HI_H212777_2021,HI,B117
USA_HI_H212782_2021,HI,B117
USA_HI_H212785_2021,HI,B117
USA_HI_H212790_2021,HI,B117
USA_HI_H212799_2021,HI,B117
USA_HI_H212805_2021,HI,B117
USA_HI_H212814_2021,HI,B117
USA_HI_H212815_2021,HI,B117
USA_HI_H212824_2021,HI,B117
USA_HI_H212831_2021,HI,B117
USA_HI_H212832_2021,HI,B117
USA_HI_H212833_2021,HI,B117
USA_HI_H212837_2021,HI,B117
USA_HI_H212839_2021,HI,B117
USA_HI_H212840_2021,HI,B117
USA_HI_H212841_2021,HI,B117
USA_HI_H212843_2021,HI,B117
USA_HI_H212844_2021,HI,B117
USA_HI_H212845_2021,HI,B117
USA_HI_H212849_2021,HI,B117
USA_HI_H212851_2021,HI,B117
USA_HI_H212852_2021,HI,B117
USA_HI_H212853_2021,HI,B117
USA_HI_H212854_2021,HI,B117
USA_HI_H212857_2021,HI,B117
USA_HI_H212858_2021,HI,B117
USA_HI_H212859_2021,HI,B117
USA_HI_H212861_2021,HI,B117
USA_HI_H212865_2021,HI,B117
USA_HI_H212866_2021,HI,B117
USA_HI_H212867_2021,HI,B117
USA_HI_H212868_2021,HI,B117
USA_HI_H212870_2021,HI,B117
USA_HI_H212871_2021,HI,B117
USA_HI_H212872_2021,HI,B117
USA_HI_H212873_2021,HI,B117
USA_HI_H212878_2021,HI,B117
USA_HI_H212883_2021,HI,B117
USA_HI_H212889_2021,HI,B117
USA_HI_H212890_2021,HI,B117
USA_HI_H212893_2021,HI,B117
USA_HI_H212896_2021,HI,B117
USA_HI_H212897_2021,HI,B117
USA_HI_H212899_2021,HI,B117
USA_HI_H212905_2021,HI,B117
USA_HI_H212906_2021,HI,B117
USA_HI_H212909_2021,HI,B117
USA_HI_H212911_2021,HI,B117
USA_HI_H212914_2021,HI,B117
USA_HI_H212920_2021,HI,B117
USA_HI_H212930_2021,HI,B117
USA_HI_H212934_2021,HI,B117
USA_HI_H212935_2021,HI,B117
USA_HI_H212937_2021,HI,B117
USA_HI_H212938_2021,HI,B117
USA_HI_H212944_2021,HI,B117
USA_HI_H212945_2021,HI,B117
USA_HI_H212947_2021,HI,B117
USA_HI_H212953_2021,HI,B117
USA_HI_H212965_2021,HI,B117
USA_HI_H212966_2021,HI,B117
USA_HI_H212971_2021,HI,B117
USA_HI_H212972_2021,HI,B117
USA_HI_H212975_2021,HI,B117
USA_HI_H212980_2021,HI,B117
USA_HI_H212981_2021,HI,B117
USA_HI_H212982_2021,HI,B117
USA_HI_H212991_2021,HI,B117
USA_HI_H213004_2021,HI,B117
USA_HI_H213005_2021,HI,B117
USA_HI_H213007_2021,HI,B117
USA_HI_H213008_2021,HI,B117
USA_HI_H213010_2021,HI,B117
USA_HI_H213012_2021,HI,B117
USA_HI_H213013_2021,HI,B117
USA_HI_H213015_2021,HI,B117
USA_HI_H213016_2021,HI,B117
USA_HI_H213017_2021,HI,B117
USA_HI_H213019_2021,HI,B117
USA_HI_H213021_2021,HI,B117
USA_HI_H213025_2021,HI,B117
USA_HI_H213052_2021,HI,B117
USA_HI_H213116_2021,HI,B117
USA_HI_H213126_2021,HI,B117
USA_HI_H213127_2021,HI,B117
USA_HI_H213137_2021,HI,B117
USA_HI_H213145_2021,HI,B117
USA_HI_H213146_2021,HI,B117
USA_HI_H213217_2021,HI,B117
USA_HI_H213243_2021,HI,B117
USA_HI_H213262_2021,HI,B117
USA_HI_H213299_2021,HI,B117
USA_HI_H213309_2021,HI,B117
USA_HI_H213318_2021,HI,B117
USA_HI_H213336_2021,HI,B117
